question_number,question_text,image,options,answer,explanation,QA type,knowledge topics,book label,level of difficulty,question type,share_context,share_image,pil_image,pil_share_image
43,"A standard synthetic CDO references a portfolio of 10 corporate names. Assume the following.
The total reference notional is X, and the term is Y years. The reference notional per
individual reference credit name is X/10. The default correlations between the individual
credit names are all equal to one. The single-name CDS spread for each individual name is 100
bp, for a term of Y years. The assumed recovery rate on default for all individual reference
credits is zero in all cases. The synthetic CDO comprises two tranches, a 50% junior tranche
priced at a spread J, and a 50% senior tranche priced at spread S. All else constant, if the
default correlations between the individual reference credit names are reduced from 1.0 to 0.7,
what is the effect on the relationship between the junior tranche spread J and the senior
tranche spread S?",[],"{'A': 'A.The relationship remains the same', 'B': 'B.S increases relative to J', 'C': 'C.J increases relative to S', 'D': 'D.The effect cannot be determined given the data supplied'}",C,"If the correlation is one, all names will default at thesame time, and the junior
and senior tranche will be equally affected. Hence,their spread should be 100bp, which is the
same as for the collateral. Withlower correlations, the losses will be absorbed first by the
junior tranche.Therefore, the spread on the junior tranche should be higher, which is offsetby
a lower spread for the senior tranches.",knowledge reasoning QA,"Default correlation, Tranche pricing, Synthetic CDO spread",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
44,"King Motors Acceptance Corporation (KMAC), the finance arm of King Motors, issues an auto-
loan asset-backed security that consists of a senior tranche, denoted Tranche A in the amount
of $50 million and an interest payment of 5 percent, and two subordinated tranches, denoted
Tranches X and Z respectively, each with a face amount of $35 million. Tranche X pays investors
annual interest at a rate of 6.5 percent while Tranche Z pays investors annual interest at a
rate of 7.5 percent. Which of the following methods of credit support would NOT affect the
credit quality of subordinated Tranche X?",[],"{'A': 'A.The total amount of the auto loans that make up the asset-backed issue is $125 million.', 'B': 'B.The weighted average interest rate on the auto loans making up the pool is 6.4 percent.', 'C': 'C.Any defaults on the part of King Motor’s customers will be first absorbed by Tranche Z.', 'D': 'D.KMAC has a reserve in the amount of $10 million that will remain on KMAC’s balance sheet. \xa0'}",D,"An investor’s claim when purchasing an ABS is solely withthe ABS and no longer
with the originator. The fact that KMAC has $10 millionset aside means nothing for the ABS
issue if it remains on KMAC’s balance sheetand is not part of the ABS issue. The other answer
choices all describe formsof credit support that will support at least Tranches X and A, if not
all 3tranches. By having Tranche Z be subordinate to Tranche X, Tranche X hasadditional
support. Also, loans of $125 million are used to back asset-backedsecurities worth ($50 + $35 +
$35) = $120 million, which means the issue, isover-collateralized. The weighted average
interest rate paid on the securitiesis approximately 6.2%. If the weighted average interest
rate on the loans thatmake up the pool is 6.4%, that means there is an excess spread between
theloans and securities that also provides support for the entire issue.",Knowledge reasoning QA,"Structured Finance, Credit Risk, Asset-Backed Securities (ABS)",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
45,"Gamma industries inc. issues an inverse floater with a face value of USD 50.000.000 that
pays a semiannual coupon of 11.50% minus LIBRO. Gamma industries intends to execute an
arbitrage strategy and earn a profit by selling the notes. Using the proceeds to purchase a
bond with a fixed semiannual coupon rate of 6.75% a year, and then hedge the risk by entering
into an appropriate swap. Gamma industries receive a quote from a swap dealer with a fixed rate
of 5.75% and a floating rate of LIBOR. What would be the most appropriate type of swap of Gamma
industries, Inc., to enter into to hedge its risk?",[],"{'A': 'A.Pay-fixed, receive-fixed swap', 'B': 'B.Pay-floating, receive-fixed swap', 'C': 'C.Pay-fixed, receive-floating swap', 'D': 'D.The risk cannot be hedged with a swap'}",B,"Short inverse floater: -11.5% +LIBOR Long a bond: +6.75%Net profit: -4.75%
+LIBORThe swap in the market: 5.75% - LIBOR, so the LIBOR inthe market is overpriced.",knowledge reasoning QA,"Interest Rate Risk, Derivatives and Hedging, Arbitrage Strategies",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
46,"A bank holds USD 60 million worth of 10-year 6 5% coupon bonds that are trading at a clean
price of USD 101.82. The bank is worried by theexposure due to these bonds but cannot unwind
the position for fear of upsetting the client. Therefore, it purchases a total return swap
(TRS) in which it receives annual LIBOR + 100 bps in return for the mark-to market returm on
the bond. For the first year, the LIBOR sets at 6.25%, and by the end of the year the clean
price of the bonds is at USD 99.35. The net receipt/payment for the bank in the total return
swap will be to:",[],"{'A': 'A.Receive USD 1.98 million', 'B': 'B.Receive USD 2 23 million', 'C': 'C.Pay USD 2.23 million', 'D': 'D.Pay USD 1.98 million'}",A,"$$
7.25\% \times 60m - \frac{99.35 - 101.82}{101.82} \times 60m - 6.5\% \times \frac{60 \times 100}{101.82} = 1.975m
$$",Math reasoning QA,"Interest Rate Risk, Credit Derivatives, Bond Valuation",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
47,"A six-year CDS on a AA-rated issuer is offered at 150bp with semiannual payments while the
yield on a six-year annual coupon bond of this issuer is 8%. There is no counterparty risk on
the CDS. The annualized LIBOR rate paid every six months is 4.6% for all maturities. Which
strategy would exploit the arbitrage opportunity? How much would your return exceed LIBOR?",[],"{'A': 'A.Buy the bond and the CDS with a risk-free gain of\\n1.9%.', 'B': 'B.Buy the bond and the CDS with a risk-free gain of\\n0.32%.', 'C': 'C.Short the bond and sell CDS protection with a\\nrisk-free gain of 4.97%.', 'D': 'D.There is no arbitrage opportunity as any apparent\\nrisk-free profit is necessarily'}",A,"Because LIBOR is flat, the fixed-coupon yield is also4.6%, creating a spread of 800
– 460 = 340bp on thebond. Going long the bond and short credit via buying the CDS yields an
annual profit of340–150 = 190bp.",math reasoning QA,"Credit Default Swaps (CDS), Arbitrage Strategies, Bond Yield Analysis",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
48,"A diversified portfolio of OTC derivatives with a single counterparty currently has a net
mark-to-market value of USD 20,000,000(the sum of the value of all positive-value positions
minus the value of all negative-value positions)  and a gross absolute mark-to-market value of
USD 80,000,000. Assuming there are no netting agreements in place with the counterparty,
determine the current credit exposure to the counterparty.",[],"{'A': 'A.Less than or equal to USD 19,000,000', 'B': 'B.Greater than USD 19,000,000 but less than or equal to\\nUSD 40,000,000', 'C': 'C.Greater than USD 40,000,000 but less than USD\\n60,000,000', 'D': 'D.Greater than USD 60,000,000'}",C,"Define X and Y asthe absolute values of the positive and negative positions. The
net value is X Y = 20 million. The absolute gross value is X + Y = 80. Solving, we get X =50
million. This is the positive part of the positions, or exposure.",math reasoning QA,"Counterparty credit risk, OTC derivatives, Mark-to-market valuation",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
49,"BNP Paribas has just entered into a plain-vanilla interest-rate swap as a pay-fixed
counterparty. Credit Agricole is the receive-fixed counterparty in the same swap. The forward
spot curve is upward-sloping. If LIBOR starts trending down and the forward spot curve
flattens, the credit risk from the swap will:",[],"{'A': 'A.Increase only for BNP Paribas', 'B': 'B.Increase only for Credit Agricole', 'C': 'C.Decrease for both BNP Paribas and Credit Agricole', 'D': 'D.Increase for both BNP Paribas and Credit Agricole'}",B,"With an upward-sloping term structure, the fixed payerhas greater credit exposure.
He receives less initially, but receives morelately. This back-loading of payments increases
credit exposure. Conversely, ifthe forward curve flattens, the fixed payer (i.e., BNP Paribas)
has less creditexposure. Credit Agricole must have greater credit exposure. Alternatively,
ifLIBOR drifts down, BNP will have to pay more, and its counterparty will havegreater credit
exposure.",Knowledge reasoning QA,"Interest-rate swaps, Credit exposure, Forward curves",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
50,"Which one of the following deals would have the greatest credit exposure for a $1,000,000
deal size (assume the counterparty in each deal is an AAA-rated bank and has no settlement
risk)?",[],"{'A': 'A.Pay fixed in an Australian dollar (AUD) interest rate swap for one year.', 'B': 'B.Sell USD against AUD in a one-year forward foreign exchange contract.', 'C': 'C.Sell a one-year AUD cap.', 'D': 'D.Purchase a one-year certificate of deposit.'}",D,"The CD has the whole notional at risk. Otherwise, thenext greatest exposure is for
the forward currency contract and the interestrate swap. The short cap position has no exposure
if the premium has beencollected. Note that the question eliminates settlement risk for the
forwardcontract.",knowledge reasoning QA,"Credit Exposure in Financial Instruments, Interest Rate Swaps, Forward Foreign Exchange Contracts",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
1,"Based on Caudill’s investment preferences, the type of real estate investment",[],"{'A': 'A.Option 2', 'B': 'B.Option 3', 'C': 'C.Option 4'}",A,"Option 2, publicly traded REITs, best satisfy Caudill’s investment preferences.
REITs are equity investments that, in general, are income tax exempt at the corporate/trust
level, so there is no double income taxation. To qualify for the income tax exemption, REITs
are legally obligated to pay out a high percentage of income to their shareholders, and this
typically results in relatively high income for investors. Lastly, public REITs are generally
liquid as they are traded in stock exchanges.",knowledge reasoning QA,"Real Estate Investment Trusts (REITs), Equity Investments, Liquidity",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x1141392A0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x114138B20>]"
2,"Relative to Option 2 and Option 3, an advantage of investing in Option 1 is:",[],"{'A': 'A.greater liquidity.', 'B': 'B.lower investment requirements.', 'C': 'C.greater control over property level investment decisions.'}",C,"Direct property ownership offers greater control over property level investment
decisions in comparison to the level of control exhibited by shareholders in REITs and REOCs.",Knowledge reasoning QA,"Real Estate Investment, Liquidity, Direct Property Ownership",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x114139210>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x114138FA0>]"
3,The Baldwin REIT is least likely to experience long-run negative effects from:,[],"{'A': 'A.An economic recession.', 'B': 'B.An unfavorable change in population demographics.', 'C': 'C.A major reduction in government funding of health care.'}",A,"Baldwin, a health care REIT, is largely resistant to economic recessions but is
exposed to changes in population demographics and changes in government funding for health
care.",Knowledge reasoning QA,"Types of REITs, Economic Recession Risk, Demographic Risk",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x114138C70>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x114139240>]"
4,The most appropriate response to Caudill’s question is:,[],"{'A': 'A.Measure 1', 'B': 'B.Measure 2', 'C': 'C.Measure 3'}",C,"Measure 3, adjusted funds from operations, is a refinement of FFO that is designed
to be a more accurate measure of current economic income. In essence, FFO is adjusted to remove
any non-cash rent and to include a provision for maintenance-type capital expenditures and
leasing costs. Maintenance expenses are required for a business to continue as a going concern.",knowledge reasoning QA,"Adjusted Funds From Operations (AFFO), Financial Metrics, Corporate Finance",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x114139480>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x1141394B0>]"
5,"Based on Exhibit 1, the 2019 year-end share price of Baldwin was closest to:",[],"{'A': 'A.$13.23.', 'B': 'B.$21.73.', 'C': 'C.$30.36.'}",B,"Baldwin’s FFO per share in 2019 was $1.89, and the resulting share price was
$21.73. First, calculate FFO per share in 2019, and then apply the year-end P/FFO multiple of
11.5x.
FFO = accounting net earnings, excluding: (a) depreciation charges on real estate, (b) deferred
tax charges, and (c) gains or losses from sales of property and debt restructuring.
2019 accounting net income: $142,187
2019 depreciation charges: $90,409
2019 deferred tax charges: N/A
2019 gains on sale of properties (other income): $2,162
2019 shares outstanding = 121,944
2019 year-end price/FFO = 11.5x
2019 Baldwin’s FFO per share = ($142,187 + $90,409 – $2,162)/121,944 shares = $1.89. At the
given 2019 year-end price/FFO multiple of 11.5x, this results in a share price for Baldwin of
$1.89 × 11.5 = $21.73.",Math reasoning QA,"FFO (Funds from Operations), Price/FFO multiple, Share price calculation",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x1141392D0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x114139900>]"
6,"Based on Exhibit 2, the intrinsic value of the Baldwin REIT on a per share",[],"{'A': 'A.$26.72.', 'B': 'B.$27.59.', 'C': 'C.$28.83.'}",C,"|                          | Step One | Step Two         |
|--------------------------|----------|------------------|
|                          | Year 1   | Year 2   | Year 3 |
| Dividends per share:      | $1.00$   | $1.06$   | $1.11$ |
| 1.Value of stock at end of Year 2: |          | $31.80$ / $32.86$  |          |
| Discount rate: 8.50%      |          |          |          |
| 2.Net present value of all dividends: | $28.83$  |          |          |

1. Calculated as $1.11/(0.085 - 0.05) = 31.80$
2. Calculated as: $1.00/(1.085) + 32.86/(1.085)^2 = 28.83$",math reasoning QA,"Dividend Discount Model, Valuation Techniques, Real Estate Investment Trusts (REITs)",Alternative Investments,easy,text + image,"['Tim Wang is a financial adviser specializing in commercial real estate investing. He is\nmeeting with Mark Caudill, a new client who is looking to diversify his investment portfolio by\nadding real estate investments. Caudill has heard about various investment vehicles related to\nreal estate from his friends and is seeking a more in-depth understanding of these investments\nfrom Wang.\nWang begins the meeting by advising Caudill of the many options that are available when\ninvesting in real estate, including the following:\nOption 1 Direct ownership in real estateOption 2 Publicly traded real estate investment\ntrustsOption 3 Publicly traded real estate operating companiesOption 4 Publicly-traded\nresidential mortgage-backed securitiesWang next asks Caudill about his investment preferences.\nCaudill responds by telling Wang that he prefers to invest in equity securities that are highly\nliquid, provide high income, and are not subject to double taxation.\nCaudill asks Wang how the economic performance of REITs and REOCs is evaluated and how their\nshares are valued. Wang advises Caudill there are multiple measures of economic performance for\nREITs and REOCs, including the following:\nMeasure 1 Net operating incomeMeasure 2 Funds from operationsMeasure 3 Adjusted funds from\noperationsIn response, Caudill asks Wang:\n“Which of the three measures is the best measure of a REIT’s current economic return to\nshareholders?”\nTo help Caudill’s understanding of valuation, Wang presents Caudill with data on Baldwin, a\nhealth care REIT that primarily invests in independent and assisted senior housing communities\nin large cities across the United States. Selected financial data on Baldwin for the past two\nyears are provided in Exhibit 1.\nBefore the meeting, Wang had put together some valuation assumptions for Baldwin in\nanticipation of discussing valuation with Caudill. Wang explains the process of valuing a REIT\nshare using discounted cash flow analysis, and he proceeds to estimate the value of Baldwin on\na per-share basis using a two-step dividend discount model using the data provided in Exhibit\n2.\n \n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share1-6_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x242 at 0x1141395A0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=556x626 at 0x114139600>]"
7,"With respect to its risk management policy, Farmhouse can be best described as:",[],"{'A': 'A.a trader.', 'B': 'B.a hedger.', 'C': 'C.an arbitrageur.'}",B,"Hedgers trade in the futures markets to hedge their exposures related to the
commodity, as stated in Farmhouse's risk management policy.",Knowledge reasoning QA,"Risk Management, Hedging, Commodity Futures",Alternative Investments,easy,text + image,"[""Mary McNeil is the corporate treasurer at Farmhouse, which owns and operates several\nfarms and ethanol production plants in the United States. McNeil's primary responsibility is\nrisk management. Katrina Falk, a recently hired junior analyst at Farmhouse, works for McNeil\nin managing the risk of the firm's commodity price exposures. Farmhouse's risk management\npolicy requires the use of futures to protect revenue from price volatility, regardless of\nforecasts of future prices, and prohibits risk managers from taking speculative\npositions.McNeil meets with Falk to discuss recent developments in two of Farmhouse's commodity\nmarkets, grains and livestock. McNeil asks Falk about key characteristics of the two markets\nthat affect revenues and costs. Falk tells McNeil the following:Statement 1 The life cycle for\nlivestock depends on the product and varies widely by product.Statement 2 Grains have uniform,\nwell-defined seasons and growth cycles specific to geographic regions.A material portion of\nFarmhouse's revenue comes from livestock exports, and a major input cost is the cost of grains\nimported from outside the United States. Falk and McNeil next discuss three conclusions that\nFalk reached in an analysis of the grains and livestock markets:Conclusion 1 Assuming demand\nfor grains remains constant, extreme heat in the regions from which we import our grains will\nresult in a benefit to us in the form of lower grain prices.Conclusion 2 New tariffs on cattle\nintroduced in our primary export markets will likely result in higher prices for our livestock\nproducts in our local market.Conclusion 3 Major improvements in freezing technology allowing\nfor longer storage will let us better manage the volatility in the prices of our livestock\nproducts.McNeil asks Falk to gather spot and futures price data on live cattle, wheat, and\nsoybeans, which are presented in Exhibit 1. Additionally, she observes that (1) the convenience\nyield of soybeans exceeds the costs of its direct storage and (2) commod-ity producers as a\ngroup are less interested in hedging in the forward market than commodity consumers are.\nA key input cost for Farmhouse in producing ethanol is natural gas. McNeil uses positions in\nnatural gas (NG) futures contracts to manage the risk of natural gas price volatility. Three\nmonths ago, she entered into a long position in natural gas futures at a futures price of $2.93\nper million British thermal units (MMBtu). The current price of the same contract is $2.99.\nExhibit 2 presents additional data about the three-month futures position.\nThe futures position is fully collateralized with a 3% rate. McNeil decides to roll forward her\ncurrent exposure in the natural gas position.Each month, McNeil reports the performance of the\nenergy futures positions, including details on price returns, roll returns, and collateral\nreturns, to the firm's executive committee. A new committee member is concerned about the\nnegative roll returns on some of the positions. In a memo to McNeil, the committee member asks\nher to explain why she is not avoiding positions with negative roll returns.\n ""]","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share7-13_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share7-13_2.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=574x174 at 0x1141394E0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=577x242 at 0x1141396C0>]"
