ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,人员,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
1083,7,,,"Happy Resorts Company currently has 1.2 million common shares of stock outstanding and the
stock has a beta of 2.2. It also has $10 million face value of bonds that have five years
remaining to maturity and 8 percent coupon with semi-annual payments, and are priced to yield
13.65 percent. If Happy issues up to $2.5 million of new bonds, the bonds will be priced at par
and have a yield of 13.65 percent; if it issues bonds beyond $2.5 million, the expected yield
on the entire issuance will be 16 percent. Happy has learned that it can issue new common stock
at $10 a share. The current risk-free rate of interest is 3 percent and the expected market
return is 10 percent. Happy's marginal tax rate is 30 percent. If Happy raises $7.5 million of
new capital while maintaining the same debt-to-equity ratio, its weighted average cost of
capital is closest to:",,"{'A': '14.5 percent.', 'B': '15.5 percent.', 'C': '16.5 percent.'}",B,"Answer: BMarket value of debt: FV = $10,000,000, PMT = $400,000, N = 10, I/Y =
6.825%. Solving for PV gives the answer $7.999,688.Market value equity: 1.2 million shares
outstanding at $10 = $12,000,000
 

 | **Description**           | **Amount**    | **Percentage** |
|---------------------------|---------------|----------------|
| Market value of debt      | $7,999,688    | 40%            |
| Market value of equity    | $12,000,000   | 60%            |
| Total capital             | $19,999,688   | 100%           |

 
To raise $7.5 million of new capital while maintaining the same capital structure, the company
would issue $7.5 million x 40% = $3.0 million in bonds, which results in a before-tax rate of
16 percent.rd(1-t)= 0.16(1-0.3) = 0.112 or 11.2%re = 0.03 2.2 (0.10 - 0.03) = 0.184 or
18.4%WACC = [0.40(0.112)]＋ [0.6(0.184)]=0.0448 ＋0.1104 =0.1552 or 15.52%
这道题目问的是Happy公司目前发行了1.2million股普通股，贝塔系数为2.2。该公司还有10million美元票面
价值的债券，还有五年到期，票面利率为8%，每半年支付一次，收益率为13.65%。如果Happy发行至多
2.5million美元的新债券，这些债券将按面值定价，收益率为13.65%;如果发行超过2.5million美元的债券
，整个发行的预期收益率将为16%。Happy已经了解到，它可以以每股10美元的价格发行新的普通股。目前的
无风险利率为3%，预期市场回报率为10%。Happy的边际税率是30%。如果Happy在保持相同的负债权益比率的
情况下筹集7.5million美元的新资本，其加权平均资本成本最接近于: 首先要求出公司的资本结构： 债券市
场价值: FV = $10,000,000, PMT = $400,000, N = 10, I/Y = 6.825%.求解PV:$7,999,688. 股权市场价值:
1.2 million shares outstanding at $10 = $12,000,000 债券和股票总市值$19,999,688，债券占比
40%，股票占比60% 为了筹集7.5million美元的新资本，同时保持相同的资本结构，公司将发行7.5×40% =
3million 美元的债券，其税前收益率为16%。rd(1 - t) = 0.16(1 - 0.3) = 0.112 or 11.2% re = 0.03
2.2 (0.10 - 0.03) = 0.184 or 18.4% WACC = [0.40(0.112)]＋ [0.6(0.184)] = 0.0448＋ 0.1104 =
0.1552 or 15.52% 因此B选项正确",嘉辰,Math reasoning QA,text+image,Easy,"Cost of Debt, Cost of Equity, Weighted Average Cost of Capital (WACC)",Corporate Finance,level1_公司金融
1110,34,,,"An analyst is examining the cash conversion cycles and their components for three companies
that she covers in the leisure products industry. She believes that changes in the investments
in these working capital accounts can reveal liquidity stresses on a company.
 
Which company’s operating cycle appears to have caused the most liquidity stress?",./dataset/images/level1_gong_si_jin_rong_images/34u.PNG,"{'A': 'Company H’s', 'B': 'Company J’s', 'C': 'Company S’s'}",C,"C is correct. 

|               | **2021** | **2020** | **2019** | **2018** | **2017** | **2016** |
|---------------|----------|----------|----------|----------|----------|----------|
| **Company J** |          |          |          |          |          |          |
| Days of Inventory on Hand | 105.6 | 101.4 | 96.3 | 105.2 | 103.2 | 101.4 |
| + Days of Receivables     | 27.7  | 29.4  | 32.9  | 36.3  | 37.8  | 38.0  |
| – Days of Payables Outstanding | 36.6  | 38.5  | 35.3  | 39.3  | 37.8  | 40.2  |
| = Cash Conversion Cycle   | 96.7  | 92.3  | 93.9  | 102.2 | 103.2 | 99.2  |
|                           |        |        |        |        |        |        |
| **Company S** |          |          |          |          |          |          |
| Days of Inventory on Hand | 135.8 | 131.0 | 118.9 | 69.2  | 63.4  | 81.7  |
| + Days of Receivables     | 49.1  | 42.5  | 54.2  | 36.2  | 29.1  | 38.3  |
| – Days of Payables Outstanding | 30.9  | 27.9  | 34.6  | 29.8  | 31.8  | 35.9  |
| = Cash Conversion Cycle   | 154.0 | 145.6 | 138.5 | 75.6  | 60.7  | 84.1  |


Company S’s cash conversion cycle nearly doubled over recent years,
while the cash conversion cycles for Companies H and J are nearly unchanged. The days of
inventory on hand and days of receivables both increased substantially for Company S, and its
days of payables outstanding decreased very slightly. The net effect was the large increase in
the cash conversion cycle. Although changes occurred in the components of the cash conversion
cycles for Companies H and J, the net effect on their cash conversion cycles was small. C是正确
的。近年来，S公司的现金转换周期几乎翻了一番，而H和J公司的现金转换周期几乎没有变化。S公司的库存
天数和应收账款天数均大幅增加，其未付应付账款天数略有减少。虽然H和J公司的现金转换周期的组成部分
发生了变化，但对其现金转换周期的净影响很小。",嘉辰,Knowledge reasoning QA,text+image,Easy,"Liquidity risk, Cash conversion cycle, Working capital management",Corporate Finance,level1_公司金融
1120,44,,,"Fran McClure of Alba Advisers is estimating the cost of capital of Frontier Corporation as
part of her valuation analysis of Frontier. McClure will be using this estimate, along with
projected cash flows from Frontier's new projects, to estimate the effect of these new projects
on the value of Frontier. McClure has gathered the following information on Frontier
Corporation:
 
The weights that McClure should apply in estimating Frontier’s cost of capital for debt and
equity are, respectively:",,"{'A': 'wd = 0.200; we = 0.800.', 'B': 'wd = 0.185; we = 0.815.', 'C': 'wd = 0.223; we = 0.777.'}",C,"wd = $63/($220 ＋ 63) = 0.223.we = $220/($220 ＋ 63) = 0.777.Market values should
be used in cost of capital calculations, and forecasted market values should be used in this
case given that the cost of capital will be applied to projected cash flows in McClure’s
analysis. wd=63美元/（220 63美元）=0.223。we=$220/（$220＋63）=0.777。在资本成本计算中应使用市
场价值，在这种情况下应使用预测市场价值，因为资本成本将应用于McClure分析中的预测现金流。

| **Description**                          | **Current Year ($)** | **Forecasted for Next Year ($)** |
|------------------------------------------|----------------------|----------------------------------|
| Book value of debt                       | 50                   | 50                               |
| Market value of debt                     | 62                   | 63                               |
| Book value of shareholders’ equity       | 55                   | 58                               |
| Market value of shareholders’ equity     | 210                  | 220                              |",嘉辰,Math reasoning QA,text+image,Easy,"Cost of capital, Market value weights, Valuation analysis",Corporate Finance,level1_公司金融
1137,7,"Megan Beade and Hanna Müller are senior analysts for a large, multi-divisional money
management firm. Beade supports the institutional portfolio managers, and Müller does the same
for the private wealth portfolio managers.Beade reviews the asset allocation in Exhibit 1,
derived from a mean–variance optimization (MVO) model for an institutional client, noting that
details of the MVO are lacking.
The firm’s policy is to rebalance a portfolio when the asset class weight falls outside of a
corridor around the target allocation. The width of each corridor is customized for each client
and proportional to the target allocation. Beade recommends wider corridor widths for high-risk
asset classes, narrower corridor widths for less liquid asset classes, and narrower corridor
widths for taxable clients with high capital gains tax rates.One client sponsors a defined
benefit pension plan where the present value of the liabilities is $241 million and the market
value of plan assets is $205 million. Beade expects interest rates to rise and both the present
value of plan liabilities and the market value of plan assets to decrease by $25 million,
changing the pension plan’s funding ratio.Beade uses a surplus optimization approach to
liability-relative asset allocation based on the objective functionU_m^LR=E(Rs,m) -
0.005λσ2(Rs,m)where E(Rs,m) is the expected surplus return for portfolio m, λ is the risk
aversion coefficient, and σ2(Rs,m) is the variance of the surplus return. Beade establishes
the expected surplus return and surplus variance for three different asset allocations, shown
in Exhibit 2. Given λ = 1.50, she chooses the optimal asset mix.
Client Haunani Kealoha has a large fixed obligation due in 10 years. Beade assesses that
Kealoha has substantially more funds than are required to meet the fixed obligation. The client
wants to earn a competitive risk-adjusted rate of return while maintaining a high level of
certainty that there will be sufficient assets to meet the fixed obligation.In the private
wealth area, the firm has designed five subportfolios with differing asset allocations that are
used to fund different client goals over a five-year horizon. Exhibit 3 shows the expected
returns and volatilities of the subportfolios and the probabilities that the subportfolios will
exceed an expected minimum return. Client Luis Rodríguez wants to satisfy two goals. Goal 1
requires a conservative portfolio providing the highest possible minimum return that will be
met at least 95% of the time. Goal 2 requires a riskier portfolio that provides the highest
minimum return that will be exceeded at least 85% of the time.
Müller uses a risk parity asset allocation approach with a client’s four–asset class
portfolio. The expected return of the domestic bond asset class is the lowest of the asset
classes, and the returns of the domestic bond asset class have the lowest covariance with other
asset class returns. Müller estimates the weight that should be placed on domestic bonds.Müller
and a client discuss other approaches to asset allocation that are not based on optimization
models or goals-based models. Müller makes the following comments to the client:
Comment 1：An advantage of the “120 minus your age” heuristic over the 60/40 stock/bond
heuristic is that it incorporates an age-based stock/bond allocation.
Comment 2:The Yale model emphasizes traditional investments and a commitment to active
management.
Comment 3:A client’s asset allocation using the 1/N rule depends on the investment
characteristics of each asset class.
 ","['./dataset/images/AssetAllocation_images/share1-8_1.png', './dataset/images/AssetAllocation_images/share1-8_2.png', './dataset/images/AssetAllocation_images/share1-8_3.png']","In the risk parity asset allocation approach that Müller uses, the weight that",,"{'A': 'less than 25%.', './dataset/images/B': 'equal to 25%.', './dataset/images/C': 'greater than 25%.'}",C,"$$
w_i \times \text{Cov}(r_i, r_p) = \frac{1}{n} \sigma_p^2
$$

where
$$
w_i = \text{weight of asset } i
$$
$$
\text{Cov}(r_i, r_p) = \text{covariance of asset } i \text{ with the portfolio}
$$
$$
n = \text{number of assets}
$$
$$
\sigma_p^2 = \text{variance of the portfolio}
$$

In this example, there are four asset classes, and the variance of the total portfolio is assumed to be 25%; therefore, using a risk parity approach, the allocation to each asset class is expected to contribute $ (1/4 \times 25\%) = 6.25\% $ of the total variance. Because bonds have the lowest covariance, they must have a higher relative weight to achieve the same contribution to risk as the other asset classes.",卓衡,Knowledge reasoning QA,text+image,Easy,"Risk parity, Asset allocation, Portfolio variance",Asset Allocation,Asset Allocation
1154,1,"Ayanna Chen is a portfolio manager at Aycrig Fund, where she supervises assistant
portfolio manager Mordechai Garcia. Aycrig Fund invests money for high-net-worth and
institutional investors. Chen asks Garcia to analyze certain information relating to Aycrig
Fund's three sub-managers, Managers A, B, and C.Manager A has $250 million in assets under
management (AUM), an active risk of 5%, an information coefficient of 0.15, and a transfer
coefficient of 0.40. Manager A's portfolio has a 2.5% expected active return this year.Chen
directs Garcia to determine the maximum position size that Manager A can hold in shares of
Pasliant Corporation, which has a market capitalization of $3.0 billion, an index weight of
0.20%, and an average daily trading volume (ADV) of 1% of its market capitalization.Manager A
has the following position size policy constraints:
■Allocation: No investment in any security may represent more than 3% of total AUM.
■Liquidity: No position size may represent more than 10% of the dollar value of the security's
ADV.
■Index weight: The maximum position weight must be less than or equal to 10 times the
security's weight in the index.Manager B holds a highly diversified portfolio that has balanced
exposures to rewarded risk factors, high active share, and a relatively low active risk
target.Selected data on Manager C's portfolio, which contains three assets, is presented in
Exhibit 1.
Chen considers adding a fourth sub-manager and evaluates three managers' portfolios, Portfolios
X, Y, and Z. The managers for Portfolios X, Y, and Z all have similar costs, fees, and alpha
skills, and their factor exposures align with both Aycrig's and investors' expectations and
constraints. The portfolio factor exposures, risk contributions, and risk characteristics are
presented in Exhibits 2 and 3.
 
Chen and Garcia next discuss characteristics of long–short and long-only investing. Garcia
makes the following statements about investing with long–short and long-only managers:
Statement 1: A long–short portfolio allows for a gross exposure of 100%.
Statement 2: A long-only portfolio generally allows for greater investment capacity than other
approaches, particularly when using strategies that focus on large-cap stocks.
Chen and Garcia then turn their attention to portfolio management approaches. Chen prefers an
approach that emphasizes security-specific factors, engages in factor timing, and typically
leads to portfolios that are generally more concentrated than those built using a systematic
approach.
 ","['./dataset/images/EquityPortfolioManagement_images/share1-7_1.png', './dataset/images/EquityPortfolioManagement_images/share1-7_2.png', './dataset/images/EquityPortfolioManagement_images/share1-7_3.png']",The number of truly independent decisions Manager A would need to make in order,,"{'A': '8', './dataset/images/B': '11', './dataset/images/C': '69'}",C,"$$
E(R_A) = IC \times \sqrt{BR} \times \sigma_{RA} \times TC
$$

$$
E(R_A) = 0.15 \times \sqrt{BR} \times 5\% \times 0.40 = 2.5\%
$$

$$
2.5\% = 0.15 \times \sqrt{BR} \times 5\% \times 0.40
$$

$$
\sqrt{BR} = \frac{2.5\%}{0.3\%} = 8.33
$$

$$
BR = 69.44
$$",卓衡,Knowledge reasoning QA,text+image,Easy,"Monte Carlo simulations, Risk and decision analysis, Independence & correlation in decision-making",Equity Portfolio Management,Equity Portfolio Management
1177,24,"The Mackenzie Education Foundation funds educational projects in a four-state region of
the United States. Because of the investment portfolio’s poor benchmark-relative returns, the
foundation’s board of directors hired a consultant, Stacy McMahon, to analyze performance and
provide recommendations.McMahon meets with Autumn Laubach, the foundation’s executive
director, to review the existing asset allocation strategy. Laubach believes the portfolio’s
underperformance is attributable to the equity holdings, which are allocated 55% to a US large-
capitalization index fund, 30% to an actively managed US small-cap fund, and 15% to an actively
managed developed international fund.Laubach states that the board is interested in following a
passive approach for some or all of the equity allocation. In addition, the board is open to
approaches that could generate returns in excess of the benchmark for part of the equity
allocation. McMahon suggests that the board consider following a passive factor-based momentum
strategy for the allocation to international stocks.McMahon observes that the benchmark used
for the US large-cap equity component is a price-weighted index containing 150 stocks. The
benchmark’s Herfindahl–Hirschman Index (HHI) is 0.0286.McMahon performs a sector attribution
analysis based on Exhibit 1 to explain the large-cap portfolio’s underperformance relative to
the benchmark.
The board decides to consider adding a mid-cap manager. McMahon presents candidates for the
mid-cap portfolio. Exhibit 2 provides fees and cash holdings for three portfolios and an index
fund.
 
 ","['./dataset/images/EquityPortfolioManagement_images/share21-26_1.png', './dataset/images/EquityPortfolioManagement_images/share21-26_2.png']","Based on its HHI, the initial US large-cap benchmark most likely has:",,"{'A': 'a concentration level of 4.29.', './dataset/images/B': 'an effective number of stocks of approximately 35.', './dataset/images/C': 'individual stocks held in approximately equal weights.'}",B,"$$
HHI = \sum_{i=1}^{n} w_i^2
$$

Using the HHI, one can estimate the effective number of stocks, held in equal weights, that would mimic the concentration level of the respective index. The effective number of stocks for a portfolio is calculated as the reciprocal of the HHI. The HHI is 0.0286; the reciprocal (1/0.0286) is 34.97. Therefore, the effective number of stocks to mimic the US large-cap benchmark is approximately 35.",卓衡,Math reasoning QA,text+image,Easy,"Concentration Measurement, Effective Number of Stocks, Herfindahl-Hirschman Index (HHI)",Equity Portfolio Management,Equity Portfolio Management
1417,4,,,"Using the Merton model, calculate the current value of a firm's equity and debt given that
the current value of the firm is $100 million, the principal amount due in five years on the
zero-coupon bond is $100 million, the annual interest rate is 10%, and the volatility of the
firm is 20%.",,"{'A': '$100 million in\\ndebt and $0 in equity.', 'B': '$60.65 million\\nin debt and $39.35 million in equity.', 'C': '$58.38 million\\nin debt and $41.62 million in equity.', 'D': '\xa0$32.59 million\\nin debt and $67.41 million in equity.'}",C,"$$
S_t = 100N(d) - (100)(0.6065)N\left(d - \sigma\sqrt{T - t}\right)
$$

$$
d = \frac{\ln\left(\frac{100}{(100)(0.6065)}\right)}{(0.20)\sqrt{5 - 0}} + \frac{1}{2}(0.20)\sqrt{5 - 0} = \frac{\ln(1.6488)}{0.4472} + \frac{1}{2}(0.4472) = 1.3418
$$

$$
S_t = 100N(1.3418) - (100)(0.6065)N(1.3418 - 0.4472)
$$

$$
S_t = 100(0.9101) - (60.65)(0.8144)
$$

$$
S_t = 91.01 - 49.39 = 41.62
$$

Therefore, the value of equity of the firm is $41.62$ million. Since the value of debt must be the difference between the firm’s value of $100$ million and the value of equity, the value of debt is $58.38$ million.",海州,Math reasoning QA,text only,Hard,"Merton Model, Valuation of Debt and Equity, Volatility Measurement",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1441,28,,,"Lin Ping is valuing a 1-year credit default swap (CDS) contract which will pay the buyer 75%
of the face value of a bond issued by Xiao Corp, immediately after a default by Xiao. To
purchase this CDS, the buyer will pay the CDS spread, which is a percentage of the face value,
once at the end of the year. Lin estimates that the risk-neutral default probability for Xiao
is 5% per year. The risk-free rate is 3% per year. Assuming defaults can only occur halfway
through the year and that the accrued premium is paid immediately after a default, what is the
estimate for the CDS spread?",,"{'A': '380 basis points', 'B': '385 basis points', 'C': '390 basis points', 'D': '400 basis points'}",C,"$$
\pi = \text{probability of default during year 1} = 5\% 
$$

$$
C = \text{contingent payment in case of default} = 75\%
$$

$$
d = \text{discount factor} = e^{-0.05} \text{ for 1-year and } e^{-0.03} \text{ for half a year} = 0.97044 \text{ and } 0.98511
$$

$$
s = \text{CDS spread (to be solved)}
$$

The premium leg, which includes the spread payment and accrual, is:

$$
s^* (0.5d_\pi) + d_\pi (1-\pi) = s^*(0.02463 + 0.92192) = s^*0.94655 
$$

The payoff leg is:

$$
C^*(d_\pi) = 0.03694
$$

Solving for the spread: 

$$
s^*0.94655 = 0.03694 \rightarrow s = 0.03902 \text{ or a spread of 390 basis points.}
$$",海州,Math reasoning QA,text only,Hard,"Credit Default Swaps, Risk-Neutral Valuation, Default Probability",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1442,29,,,"You are the risk manager at Vision, a small fixed-income hedge fund that specializes in bank
debt. Vision's strategy uilizes both relative valueand long-only trades using credit default
swaps (CDS) and bonds. One of the new traders has the positions described in the table below:
 
Some of Vision's newest clients are restricted from withdrawing their funds for three years.
You are currently evaluating the impact of variousdefault scenarios to estimate future asset
liquidity. You have estimated that the marginal probility of default of the Stanos bond is 5%
in Year 1,10% in Year 2, and 15% in Year 3. What is the probability that the bond makes coupon
payments for 3 years and then default at the end of Year3?",./dataset/images/CreditRiskMeasurementandManagement2_images/29u.png,"{'A': '小于13%', 'B': '15%', 'C': '27%', 'D': '73%'}",A,"$$
P \text{ (Default at end of year 3)} = (1 - MP^{\text{year 1 default}}) \cdot (1 - MP^{\text{year 2 default}}) \cdot MP^{\text{year 3 default}}
$$

$$
= (1 - 0.05) \cdot (1 - 0.10) \cdot 0.15 = 0.1283 \text{ or } 12.83\%.
$$",海州,Math reasoning QA,text only,Hard,"Credit Risk, Probability of Default, Valuation of Fixed Income Securities",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1448,35,,,"You are evaluating the credit risk in a portfolio comprised of Loan A and Loan B. In
particular, you are interested in the risk contribution of each of the loans to the unexpected
loss of the portfolio. Given the information in the table below, and assuming that the
correlation of default between Loan A and Loan B is 20%, what is the risk contribution of Loan
A to the risk of the portfolio?",./dataset/images/CreditRiskMeasurementandManagement2_images/35u.png,"{'A': 'USD 39,587', 'B': 'USD 62,184', 'C': 'USD 96,794', 'D': 'USD 120,285'}",B,"$$
RCA = \frac{(UL_A^2 + p \times UL_A \times UL_B)}{UL_p}
$$

$$
UL = A \times \sqrt{EDF \times VAR_{LGD} + LGD^2 \times VAR_{EDF}} \text{ Therefore:}
$$

$$
UL_A = 3,000,000 \times \sqrt{(1.5\% \times 20\%)^2 + (30\% \times 7\%)^2} = 96,793.59
$$

$$
UL_B = 2,000,000 \times \sqrt{(3.5\% \times 30\%)^2 + (45\% \times 12\%)^2} = 155,769.06
$$

$$
UL_p = \sqrt{(96,793.59^2 + 155,769.06^2 + 2 \times 96,793.59 \times 155,769.06)} = 199,158.17
$$

$$
RCA = \frac{(96,793.59^2 + 20\% \times 96,793.59 \times 155,769.06)}{199,158.17} = 62,184.19
$$",海州,Math reasoning QA,text only,Hard,"Credit risk, Portfolio risk, Correlation of default",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1449,36,,,"An analyst is using Moody’s KMV model to estimate the distance to default of a large public
firm, Shoos Inc., a firm that designs, manufactures and sells athletic shoes. The firm’s
capital structure consists of USD 40 million in short-term debt, USD 20 million in long-term
debt, and there are one million shares of stock currently trading at USD 10 per share. The
asset volatility is 20% per year. What is the normalized distance to default for Shoos Inc.?",,"{'A': '0.714', 'B': '1.430', 'C': '2.240', 'D': '5.000'}",B,"$$
DD = \frac{A - K}{A \sigma_A}
$$

where: “$K$” (floor) is defined as the value of all short term liabilities (one year $A \sigma A$ and under) plus one half of the book value of all long term debt: 40 million + 0.5 \times 20 million = 50 million. ‘$A$’ is the value of assets: Market value of equity (1 million shares \times 10/share = 10 million) plus the book value of all debt (60 million) = 70 million. Thus $A \sigma A = 20\% \times 70 million = 14 million$. DD = $\frac{(70 million - 50 million)}{14 million} = 1.429$ standard deviations.",海州,Math reasoning QA,text only,Hard,"Credit Risk Modeling, Distance to Default, Moody's KMV Model",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1451,38,,,"Suppose XYZ Corp. has two bonds paying semiannually according to the following table. The
recovery rate for each in the event of default is 50%. For simplicity, assume that each bond
will default only at the end of a coupon period. The market-implied risk-neutral probability of
default for XYZ Corp. is:",./dataset/images/CreditRiskMeasurementandManagement2_images/38u.png,"{'A': 'Greater in the first six-month period than in the second', 'B': 'Equal between the two coupon periods', 'C': 'Greater in the second six-month period than in the first', 'D': 'Cannot be determined from the information provided'}",A,"First, we compute the current yield on the six-monthbond, which is selling at a
discount. We solve for y such that 99 = 104/(1 + y /2) and find y  = 10.10%. Thus, the yield
spread for the first bond is 10.1  5.5 = 4.6%. The second bond is at par, so the yield is y  =
9%. The spread for the second bond is 9  6 = 3%. The default rate for thefirst period must be
greater. The recovery rate is the same for the twoperiods, so it does not matter for this
problem",海州,Math reasoning QA,text only,Hard,"Yield Spread Analysis, Risk-neutral Probability of Default, Bond Valuation",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1466,4,,,"A risk manager is evaluating the risk profile for a portfolio of stocks. Currently, the
portfolio is valued at JPY 128 billion and contains JPY 25 billion in stock XYZ. The standard
deviation of returns of stock XYZ is 11% annually and that of the overall portfolio is 18%
annually. The correlation of returns between stock XYZ and the portfolio is 0.6. Assuming the
risk analyst uses a 1-year 95% VaR and that returns are normally distributed, what is the
estimated component VaR of stock XYZ?",,"{'A': 'JPY 2.714 billion', 'B': 'JPY 3.838 billion', 'C': 'JPY 4.524 billion', 'D': 'JPY 6.397 billion'}",A,"$$
VaR_{XYZ} = w_{XYZ} * \sigma_{XYZ} * \alpha(95\%) = \text{JPY } 25 \text{ million } \times 0.11 \times 1.645 = \text{JPY } 4.524 \text{ billion}
$$

$$
\text{Component } VaR_{XYZ} = p * VaR_{XYZ} = 0.6 \times 4.524 = \text{JPY } 2.714 \text{ billion}
$$",海州,Math reasoning QA,text only,Hard,"Value at Risk (VaR), Portfolio Risk Management, Correlation and Standard Deviation",Risk Management and Investment Management,RiskManagement and Investment Management2
1468,6,,,"A portfolio manager wants to invest a small amount of new money that has recently come into a
fund. The fund is benchmarked to an index and, rather than adding a new holding, the manager is
considering increasing the holdings of one of the four assets described in the following
table: 
 
 
The portfolio manager wants to select the asset that has the lowest marginal VaR as long as its
Treynor ratio is at least 0.1. Assuming the risk free rate is 2%, which asset should the
portfolio manager select?",./dataset/images/RiskManagementandInvestmentManagement2_images/6u.png,"{'A': 'Asset A', 'B': 'Asset B', 'C': 'Asset C', 'D': 'Asset D'}",C,"| Asset | Portfolio Weight | Expected Return | Beta to the Index | Beta to the Portfolio | Correct Treynor | Incorrect Treynor |
|-------|------------------|-----------------|--------------------|-----------------------|------------------|-------------------|
| A     | 1.2%             | 12%             | 1.2                | 0.90                  | 0.083            | 0.111             |
| B     | 0.8%             | 10%             | 0.7                | 0.90                  | 0.114            | 0.089             |
| C     | 0.75%            | 10%             | 0.6                | 0.85                  | 0.133            | 0.094             |
| D     | 0.35%            | 8%              | 0.3                | 1.10                  | 0.200            | 0.055             |",海州,Math reasoning QA,text only,Hard,"Marginal VaR, Treynor ratio, Portfolio management strategies",Risk Management and Investment Management,RiskManagement and Investment Management2
1478,16,,,"A portfolio is composed of two securities ans has the following
characteristics:  Investment in X:   USD 1.8 million  Investment in Y:  USD 3.2 million
 Volatility of X:  8%  Volatility of Y: 4%  Correlation between X and Y: 15%  The
portfolio diversified VAR at the 95% confidence level is closest to:",,"{'A': '1', 'B': '$14,074', 'C': '$206,500', 'D': '$404,740'}",D,"$$
Variance_{x,y} = w_{x}^2 \sigma_{x}^2 + w_{y}^2 \sigma_{y}^2 + 2 \times w_{x} \times w_{y} \times \sigma_{x} \times \sigma_{y} \times Corr_{x,y}
$$

$$
Variance_{x,y} = 0.36^2 \times 0.08^2 + 0.64^2 \times 0.04^2 + 2 \times 0.36 \times 0.64 \times 0.08 \times 0.04 \times 0.15
$$

$$
Variance_{x,y} = 0.00082944 + 0.00065536 + 0.000221184
$$

$$
Variance_{x,y} = 0.001705984
$$

$$
Standard \ deviation = \sqrt{0.001705984} = 4.13\%
$$

Step 2: Calculate the VAR $VAR = 1.65 \times volatility \times portfolio \ value \quad VAR = 1.65 \times 0.0413 \times \$5m$",海州,Math reasoning QA,text only,Hard,"Value at Risk (VaR), Portfolio Volatility, Correlation",Risk Management and Investment Management,RiskManagement and Investment Management2
1480,18,,,"SkyLine Airways has a defined benefit pension scheme with assets of $165 million and
liability of $150 million. The annual growth of the liabilities is expected to be 4.5% with
2.4% volatility. The annual return on the pension assets has an expected value of 7.8% with 12%
volatility. The correlation between asset return and liability growth is 0.35. What is the 95%
surplus at risk for SkyLine?",,"{'A': '$24.97million', 'B': '$54.81million', 'C': '$18.84million', 'D': '$6.12million'}",A,"$$
Var_{A\&L} = 165^2 \times 0.12^2 + 150^2 \times 0.024^2 - 2 \times 165 \times 150 \times 0.12 \times 0.024 \times 0.35
$$

$$
Var_{A\&L} = 392.04 + 12.96 - 49.896
$$

$$
Var_{A\&L} = 355.104
$$

$$
\text{Standard deviation} = \sqrt{355.104} = 18.84m
$$

Step 3: Calculate VAR of the assets. $VAR = Z\text{-score} \times \text{volatility} \; VAR = 1.65 \times 18.84m \; VAR = 31,086,000$. Surplus at risk = expected growth in surplus - VAR. Surplus at risk = $6.12m - 31.086m = -24.97m$. Note: Although it is a negative, it is usually expressed as a positive figure as it is assumed that it is a shortfall. (1)",海州,Math reasoning QA,text only,Hard,"Value at Risk (VaR), Defined Benefit Pension Scheme, Volatility",Risk Management and Investment Management,RiskManagement and Investment Management2
1497,35,,,"The Westover Fund is a portfolio consisting of 42% fixed-income investments and 58% equity
investments. The manager of the Westover Fund recently estimated that the annual VaR (5%),
assuming a 250-day year, for the entire portfolio was $1,367,000 based on the portfolio's
market value of $12,428,000 and a correlation coefficient between stocks and bonds of zero. If
the annual loss in the equity position is only expected to exceed $1,153,000 five percent of
the time, then the daily expected loss in the bond position that will be exceeded five percent
of the time is closest to:",,"{'A': '46445', 'B': '72623', 'C': '55171', 'D': '21163'}",A,"$$
VaR^{2}_{portfolio} = VaR^{2}_{Stocks} + VaR^{2}_{Bonds} + 2VaR_{Stocks} VaR_{Bonds} \rho_{Stocks,Bonds}
$$

$$(1,367,000)^{2} = (1,153,000)^{2} + VaR^{2}_{Bonds} + 2(1,153,000) VaR_{Bonds}(0)$$

$$
VaR_{Bonds} = [(1,367,000)^{2} - (1,153,000)^{2}]^{0.5} = 734,357
$$

Next convert the annual $VaR_{Bonds}$ to daily $VaR_{Bonds}$: 

$$
734,357 \cdot \frac{1}{(250)^{0.5}} = 46,445
$$",海州,Math reasoning QA,text only,Hard,"Value at Risk (VaR), Portfolio management, Risk measurement methods",Risk Management and Investment Management,RiskManagement and Investment Management2
