ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
1941,28,,,"An investor holds two positions: ●Short shares worth $10,000 where the proportional bid-
offer spread is 0.030, and ●Long shares worth $17,000 where the proportional bid-offer spread
is 0.040 What is the approximate cost to the investor to unwind this two-position portfolio?",,"{'A': '$490.00', 'B': '$750.00', 'C': '$980.00', 'D': '$1,300.00'}",A,"The bid– offer spread for the first holding is 0.030 * 10,000 = $300.00; for the
second holding, the bid-offer spread is 0.040 * 17,000= $680.00. Therefore, the cost to unwind
the portfolio is (300.00 + 680.00)/2 = $490.00.第一个持仓的买入-卖出价差为0.030 * 10,000 = $
300.00； 第二个持仓买入-卖出价差为0.040 * 17,000 = $ 680.00。 因此，平仓投资组合的成本为
（300.00＋680.00）/ 2 = $ 490.00。",Math reasoning QA,text only,Easy,"Bid-offer spread, Portfolio unwinding, Transaction costs",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
1942,29,,,"Suppose that a financial institution has bought 10 million shares of one company and 50
million ounces of a commodity. The shares are bid $89.5, offer $90.5. The commodity is bid $15,
offer $15.1. The mid-market value of the position in the shares is 90 × 10 = $900 million. The
mid-market value of the position in the commodity is 15.05 × 50 = $752.50 million. The
proportional bid-offer spread for the shares is 1 /90 or 0.01111. The proportional bid-offer
spread for the commodity is 0.1/ 15.05 or 0.006645. The cost of liquidation in a normal market
is？",,"{'A': '5.5', 'B': '6', 'C': '7', 'D': '7.5'}",D,"900 × 0.01111 /2 + 752.5 × 0.006645/2 = 7.5900 × 0.01111 /2＋752.5 × 0.006645/2
= 7.5",Math reasoning QA,text only,Easy,"Market Risk, Bid-Offer Spread, Liquidation Cost",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
2123,18,,,"The following statements concern differences between market and operational risk VAR models.
Which of the following statements is false?",,"{'A': 'Market risk models are\\nprimarily driven by historical data, whereas operational risk models\na', 'B': 'Market risk models typically\\ndefine VAR as a specific quantile of the loss distribution,\nwher', 'C': 'Backtesting is generally a\\nmore useful form of validation for market risk models than for\nope', 'D': 'The time horizon over which VAR is evaluated differs between market\\nand operational risk'}",B,"Statement a. is true because operational risk models often relyheavily on scenario
analysis. Backtesting is more difficult for operationalrisk models, so c. is true. VAR is
usually evaluated over shorter horizons, sod. is true. Statement b. is false because both
market and operational riskmodels use a quantile of the distribution.(3)",Knowledge reasoning QA,text only,Hard,"Market Risk VAR Models, Operational Risk VAR Models, Backtesting",Operational Risk,Operational Riskand Resiliency2
2124,19,,,"Which of the following statements about its methodology for calculating an operational risk
capital charge in Basel II is correct?",,"{'A': 'Basic indicator approach is suitable for institutions with\\nsophisticated operational risk\nprofile.', 'B': 'Under the standardized approach, capital requirement is measured\\nfor each of the business\nline.', 'C': 'Advanced measurement approaches will not allow an institution to adopt\\nits own method of\nassessment', 'D': 'AMA is less risk-sensitive than the standardized approach.'}",B,"The BI approach is suitable for banks with basic risk profiles, soanswer a. is
incorrect. The AMA approach is an internal model, so answer c. isincorrect. The AMA is more
risk-sensitive than the SI approach, so answer d. isincorrect.(1)",Knowledge reasoning QA,text only,Hard,"Basel II framework, Operational risk, Capital requirements",Operational Risk,Operational Riskand Resiliency2
2125,20,,,"In a market crash the following are usually true? I. Fixed-income portfolios hedged with
short Treasury bonds and futures lose less than those hedged with interest rate swaps given
equivalent durations. II. Bid–offer spreads widen because of lower liquidity. III. The spreads
between off-the-run bonds and benchmark issues widen.",,"{'A': 'I, II, and III', 'B': 'II and III', 'C': 'I and III', 'D': 'None of the above'}",B,"In a crash, bid offer spreads widen, as do liquidity spreads. AnswerI. is incorrect
because Treasuries usually rally more than swaps, which leadsto greater losses for a portfolio
short Treasuries than swaps. (1)",Knowledge reasoning QA,text only,Hard,"Fixed Income Securities, Market Liquidity, Bid-Offer Spread",Operational Risk,Operational Riskand Resiliency2
2126,21,,,"You are a manager of a renowned hedge fund and are analyzing a 1,000 share position in an
undervalued but illiquid stock BNA, which has a current stock price of USD 72 (expressed as the
midpoint of the current bid-ask spread.) Daily return for BNA has an estimated volatility of
1.24%. The average bid-ask spread is USD 0.16. Assuming returns of BNA are normally
distributed, what is the estimated liquidity-adjusted daily 95% VaR, using the constant spread
approach?",,"{'A': 'USD 1,389', 'B': 'USD 1,468', 'C': 'USD 1,549', 'D': 'USD 1,629'}",C,"The constant spread approach adds half of the bid-askspread (as a percent) to the
VaR calculation:Daily 95% VaR = 72,000*(1.645*0.0124) = USD 1469Liquidity cost =
72,000*(0.5*0.16/72) = 80LVaR = VaR + LC = 1549(0)",Math reasoning QA,text only,Hard,"Value at Risk (VaR) Calculation, Liquidity Risk, Bid-Ask Spread",Operational Risk,Operational Riskand Resiliency2
2176,8,,,"Which of the following statements regarding market, credit, and operational risk is correct?",,"{'A': ' People risk relates to the risk associated with incompetence and lack of suitable training of internal employees and/or external individuals.', 'B': ' Between two counterparties, presettlement risk is always higher than settlement risk.', 'C': ' Options are examples of financial instruments with non-directional risks.', 'D': ' Funding liquidity risk results from a large position size forcing transactions to influence the price of securities.'}",C,People risk relates to the risk associated with fraud perpetrated by internal employees and/or external individuals. It does not relate to incompetence and lack of suitable training. Presettlement risk is lower than settlement risk because the former allows for offsetting of payments while the latter requires settlement of the full value of payments. Non-directional risks have non-linear exposures to changes in economic or financial variables which is clearly the case with options. Asset-liquidity risk (not funding liquidity risk) results from a large position size forcing transactions to influence the price of securities.,Knowledge reasoning QA,text only,Easy,"market risk, credit risk, operational risk, people risk, presettlement risk",Foundation of Risk Management,foundation of risk management1
2178,10,,,"From the perspective of a bank, which of the following is not an advantage of using a collateralized debt obligation (CDO) to transfer credit risk?",,"{'A': ' Bank profitability can be accelerated due to higher loan turnover.', 'B': ' Credit risk is effectively transferred to investors.', 'C': ' There will always be a market for CDO products.', 'D': ' A larger pool of potential borrowers will exist due to less concern for lending (underwriting) standards.'}",C,"Collateralized debt obligations transfer credit risk from banks to investors. This process enables banks to accelerate the loan origination cycle and therefore enjoy potentially higher profitability due to sourcing more loans than would otherwise be accessible. The pool of potential borrowers is increased because banks are less concerned with lending standards. However, when investors lose interest in CDO products due to higher-than-expected default rates, the loan origination cycle (for the bank) can be slowed with a large amount of credit trapped on their balance sheet.",Knowledge reasoning QA,text only,Easy,"CDO, credit risk, loan origination",Foundation of Risk Management,foundation of risk management1
2179,11,,,Which of the following statements regarding risk and risk management is correct?,,"{'A': ' Risk management is more concerned with unexpected losses versus expected losses.', 'B': ' There is a relationship between the amount of risk taken and the size of the potential loss.', 'C': ' The final step of the risk management process involves developing a risk mitigation strategy.', 'D': ' If executed properly, the risk management process may allow for risk elimination within an economy.'}",A,"Risk management is more concerned with the variability of losses, especially ones that could rise to unexpectedly high levels or ones that suddenly occur that were not anticipated (unexpected losses).",Knowledge reasoning QA,text only,Easy,"risk management, unexpected losses, expected losses",Foundation of Risk Management,foundation of risk management1
2182,14,,,Which component is NOT in the APT model?,,"{'A': ' Factor exposure', 'B': ' Factor return', 'C': ' Factor correlations', 'D': ' Specific (idiosyncratic) return'}",C,"APT gives expected return (first moment) as a linear combination of factors in which correlation does not enter; rather, correlation impacts variance/volatility (second moment).",Knowledge reasoning QA,text only,Easy,"APT model, factor returns, idiosyncratic return",Foundation of Risk Management,foundation of risk management1
2326,23,,,"The following table gives the initial price of a bond portfolio and its present values after
applyingkey rate 1-basis point shifts at 2, 5, 10, and 30 years.
What isthe key rate’01 with respect to the 5-year shift?",./dataset/images/ValuationandRiskModels2_images/23u.png,"{'A': 'Key rate’01 equals 0.0035', 'B': 'Key rate’01 equals 0.0410', 'C': 'Key rate’01 equals 0.5408', 'D': 'Key rate’01 equals 1.4570'}",C,"本题的主要考点为关键利率久期的计算。
第5年关键利率基点价值为：

$$
Key\ rate^{01} = \frac{(24.6642 - 24.1234)}{1} = 0.5408
$$

因此，选项 C 正确。",Math reasoning QA,text only,Hard,"Key rate duration, Interest rate risk, Bond portfolio management",Valuation and Risk Models,Valuationand Risk Models2
2327,24,,,"Leo, FRM, is a risk manager of a hedge fund. He doubted the effectiveness of duration and
convexity hedging strategies. Instead, he found that key rate hedging is a more practical one.
His intern, Amy, showed him some materials about key rate hedging strategies that she gathered.
Leo was pleased with the materials, but there are still some mistakes. Which one of them is
incorrect?",,"{'A': 'The analysis of key rate duration applies principal components analysis. Based on the PCA,\nthe daily term structure movements observed are a linear combination of the factors, which are\ncorrelated.', 'B': 'The first three factors account for the majority of the variation of the observed rate daily\nmovements, which can be roughly seen as a parallel shift in the term structure, a steepening or\nflattening of the term structure, and a bowing of the term structure.', 'C': 'Key rate shifts assume that the impact of the key rate shifts declines (or increases)\nlinearly and reaches zero at the terms of the adjacent key rates.', 'D': 'If 2-year, 7-year and 15-year are selected as the key rates, and the 7-year key rate rises'}",A,"本题的考点为关键因子变、关键利率久期及利率曲线非平行移动等概念分析。

选项A中，PCA（Principal component analysis, 主成分分析法）要求关键组合的因子之间应该是不相关的（uncorrelated），因此错误。

选项B中，在影响债券价格波动的诸多因素当中，利率期限的平行移动（parallel shift）、陡峭程度（steepening or flattening）以及弯度（曲度，bowing）这三个因子可以解释绝大部分利率波动的变动情况，因此正确。选项C前两个关键因子对债券相关性较高的组合会有很将的解释成效，但弯度对收益到期时间较长的债券效用不明显，因此错误。\* 计算过程如下：

$$
\frac{5-2}{7-2} = \frac{\Delta5 - year rate}{\Delta7 - year rate} = 0.6
$$

$$
\Delta7 - year rate = 1bp,\Delta5 - year rate = 0.6bp
$$

因此选项D表述正确。

综上，B, C, D都与题意不符，不符合题意。因此，选项A为本题正确答案。",Knowledge reasoning QA,text only,Hard,"Key rate duration, Principal components analysis (PCA), Term structure movements",Valuation and Risk Models,Valuationand Risk Models2
2328,25,,,"Qi is planning on purchasing an apartment in the Tomson Riviera located in Pudong district.
As a result of his limited deposit, he turns to a junior financial advisor for advice regarding
the fixed rate residential mortgage. The prevailing market price of the apartment is CNY 16.119
million and Qi is considering borrowing 65% of the amount for 30 years from ICBC. Assuming the
fixed rate is 4.9% with monthly compounding, which of the followings is closest to the monthly
payment of the mortgage?",,"{'A': '513,390', 'B': '85,544', 'C': '55,606', 'D': '75,563'}",C,"本题的考点为计算房贷每月偿付额。  
计算过程如下：  
$$
Amount\, of\, loan = 16,119,000 \times 65\% = 10,477,350
$$
$$
N = 30 \times 12 = 360, \, PV = 10,477,350, \, I/Y = 4.9/12, \, FV = 0
$$
$$
CPT PMT = -55,606
$$
因此，选项 C 正确。  ",Math reasoning QA,text only,Hard,"Time Value of Money, Mortgage Loan Calculation, Fixed Rate Mortgage",Valuation and Risk Models,Valuationand Risk Models2
2329,26,,,"A portfolio manager asks a junior risk analyst to analyze the prepayment risk of a pool of
6% fixed-rate mortgages with a weighted average loan age of 60 months. The balance on the loans
at the beginning of this month was USD 33 million, and the conditional prepayment rate is
assumed to be constant at 5.5% per year. Which of the following is closest to the single
monthly mortality rate?",,"{'A': '21.43%', 'B': '0.47%', 'C': '0.53%', 'D': '78.53%'}",B,"本题的考点为利用 CPR 求 SMM。

计算过程如下：

$$
CPR = 1 - (1 - SMM)^{12}
$$

$$
SMM = 1 - (1 - CPR)^{1/12} = 1 - (1 - 0.055)^{1/12} = 0.004703 = 0.4703\%
$$

因此，选项 B 正确。",Math reasoning QA,text only,Hard,"Prepayment Risk, Mortgage-Backed Securities, Conditional Prepayment Rate",Valuation and Risk Models,Valuationand Risk Models2
2330,27,,,"Securitization is the process of transforming illiquid assets (bank loans) to more liquid
assets (MBS). Securitization increase the liquidity of financial assets. Which of the following
is right about securitization?",,"{'A': 'MPS redistributes the cash flows from a mortgage pool to different tranches.', 'B': 'CMO is the simplest form of agency MBSs, with all investors in a pool receiving the same\nreturn.', 'C': 'As prepayments increase, IOs become less valuable.', 'D': 'As prepayments increase, POs become less valuable.'}",C,"本题的考点为MBS,MPS,IO,PO知识点的辨析。选项A中，CMO才对房贷池中的现金流进行了分层而
不是MPS，因此错误。选项B中，MPS才是agency MBS中最简单的形式而不是CMO，因此错误。选项C中，当提前
还款增加时，意味着未偿付的本金减少，则基于未偿付本金计算的利息也减少，IOs的价值会降低。选项D中
，随着提前还款增加，PO可以提前收回现金流，价值更大而非更小，因此错误。因此，选项C正确。",Knowledge reasoning QA,text only,Hard,"Mortgage-Backed Securities (MBS), Prepayment Risk, Securitization",Valuation and Risk Models,Valuationand Risk Models2
2332,29,,,Which of the following statements about FRA is wrong?,,"{'A': 'If FRA rate is lower than future spot rate, the short position will receive payments.', 'B': 'An FRA is usually settled at the beginning of the period covered by the FRA.', 'C': 'The FRA can be used to lock the interest rate or hedge the risk of borrowing or lending at\nsome future dates.', 'D': 'Short positions in FRA can be viewed as the obligation to make a loan at the contract rate,'}",A,"本题的考点为FRA相关性质的辨析。选项A中，FRA中的多头方可以看作未来将以一个固定的合约
利率借入款项的债务人角色，在未来借款利率上升时可获利，空头为亏损的一方，需要支付款项给多头方
，因此错误。选项B中，FRA的结算是在其所覆盖的借款期开始时就进行的，因此正确。选项C中，FRA可以确
定未来的借款利率，对于borrower可以对冲利率上涨的风险，对于lender可以对冲利率下降的风险，因此正
确。选项D中，FRA的空头方是未来将以一个固定的利率借出款项的一方，当利率下降时可以获利，因此正确
。选项B,C,D表述均正确，不符合题意，因此选项A为本题正确答案。",Knowledge reasoning QA,text only,Hard,"Forward Rate Agreements (FRAs), Interest Rate Risk Management, Hedging Strategies",Valuation and Risk Models,Valuationand Risk Models2
2333,30,,,"ABC, Inc., entered into a forward rate agreement (FRA) to receive a rate of 3.75% with
continuous compounding on a principal of USD 1 million between the end of year 1 and the end of
year 2. The zero rates are 3.25% and 3.50% for one and two years. What is the value of the FRA
when the deal is just entered?",,"{'A': 'USD 35,629', 'B': 'USD 34,965', 'C': 'USD 664', 'D': 'USD 0'}",D,本题的考点为FRA的期初价值。对于FRA 而言，其期初价值为0。因此，选项D正确。,Math reasoning QA,text only,Hard,"Forward Rate Agreement (FRA), Zero Rates, Continuous Compounding",Valuation and Risk Models,Valuationand Risk Models2
2334,31,,,"Marina Capital is concerned about the impact of interest rate changes, so they entered into
a forward rate agreement that is designed to ensure that they will receive a fixed rate of 5%
and pay LIBOR on a principle of USD 100 million for a 3-month period starting in 2 months. If
3-month LIBOR turns out to be 5.5%, what will be the payoff of Marina Capital after 2 months?",,"{'A': 'USD 123,305', 'B': 'USD 125,237', 'C': '-USD 123,305', 'D': '-USD 125,237'}",C,"本文考点为 FRA 结算现金流的计算。

解析：对于 M 公司而言，收入定，付浮动，所以当利率实际上升时，M 公司在 FRA 中亏损。

在最终结算日损失为：$100M \times (5\%-5.5\%) \times 0.25=-125,000$，最后根据题意，用实际利率贴现 3 个月。

$$
\frac{-125,000}{(1+5.5\%\times 0.25)} =- USD \ 123,304.56，\text{选 C}。
$$",Math reasoning QA,text only,Hard,"Forward Rate Agreements, Interest Rate Risk Management, Payoff Calculation",Valuation and Risk Models,Valuationand Risk Models2
2335,32,,,"Consider a forward rate agreement (FRA) with the same maturity and compounding frequency as
a Eurodollar futures contract. The underlying interest rate is LIBOR. Which of the following
statements is true about the relationship between forward rate and futures rate?",,"{'A': 'The forward rate is normally higher than the futures rate.', 'B': 'They have no fixed relationship.', 'C': 'The forward rate is normally lower than the futures rate.', 'D': 'They should be exactly the same.'}",C,"本题考点为欧洲美元期货利率对远期利率的估计。
$$
\text{Forward Rate} = \text{Futures Rate} - \frac{1}{2} \sigma^2 t_1 t_2
$$
FRA能做对远期利率做出一个准确的估计，但是欧洲美元期货对于远期利率的估计需要做一个凸度调整，也就是上面对应的公式。出现差异的原因在于欧洲美元是每日结算，远期合约是在合约到期时结算，造成了期货合约的隐含利率与实际远期利率之间的差异。这个公式可以看出Futures Rate是大于Forward Rate的。所以选择C选项。",Knowledge reasoning QA,text only,Hard,"Interest Rate Derivatives, Forward Rate Agreements (FRA), Eurodollar Futures",Valuation and Risk Models,Valuationand Risk Models2
2367,65,,,"Jacky is a senior manager in risk management at the Moon Bank. He asked Lucy, a new risk
analyst to conduct the stress test for the bank. He gave the stress test instructions left by
the last leaving risk analyst to Lucy. Jacky summarized some of the key points in the guide.
Which of the following statement is not correct?",,"{'A': 'Bank should have sufficient liquid assets and capital to survive various adverse events.', 'B': 'The reason why banks use reverse stress tests is to find events that could lead to the crash\nof the bank.', 'C': 'Extreme events tend to have a moderate impact on the banking system, but there is a high\nprobability that these events will happen.', 'D': 'The time horizon for stress testing should be long enough for the full impact of scenarios to'}",C,"Answer: C：本题考点为压力测试（stress testing）的原理和压力测试的关键要素。对于选项
A，压力测试是一种评估极端市场情形对银行影响的方法，该方法通过估计金融机构面临极端情景的表现，从
而判断其是否有充足的资本金和流动性资产以抵御这些极端市场情形。所以，该选项描述正确，不符合题意
，为错误选项。对于选项B，反向压力测试分析的是哪些极端情景导致了金融机构的失败。所以，该选项描述
正确，不符合题意，为错误选项。对于选项C，极端事件往往会对银行系统产生严重的影响，虽然这些事件发
生的可能性会很小。所以，该选项描述错误，符合题意，为正确选项。对于选项D，在压力测试的关键要素中
，情景选择是关键的要素之一。情景选择第一步是确定一个合适的时间跨度。这个时间跨度要足够长，以评
估情景的全面影响。常见的时间跨度为3个月到2年不等。有的可能会更长，长达几十年的时间跨度，例如一
些养老金计划，或者保险公司。所以，该选项描述正确，不符合题意，为错误选项。因此，正确选项为C。",Knowledge reasoning QA,text only,Hard,"Stress Testing, Capital and Liquidity Requirements, Extreme Event Impact Analysis",Valuation and Risk Models,Valuationand Risk Models2
2368,1,,,"Jamison and Bronson are applying for the residential mortgage loans in National Savings, a
large local bank. Generally, the bank’s decisions of making loans or not is independent among
borrowers, but not independent in a recessionary condition. In normal conditions, Jamison has a
probability of 70% to get the mortgage successfully, and Bronson has a probability of 80%.
While in the recessionary economy, the bank is going to reduce the loan scale. Thus, Jamison
would have a lower probability of 30%, and Bronson would have a rate of 35%. Based on the
information above, Jamison makes three statements:Statement 1: There is a probability of 56%
that both of them could get mortgages from the bank generally.Statement 2: Because the bank’s
decisions of making loans are unconditionally independent, hence they must be conditionally
independent.Statement 3: There is a probability of 10.5% that they could get mortgages from the
bank when the economy is in recession.How many of the statements above is(are) correct?",,"{'A': '0.', 'B': '1.', 'C': '2.', 'D': '3.'}",B,"Answer: B该题主要考点为条件独立和无条件独立的判断。对于statement 1，在通常情况下
，银行发放贷款的决策可以认为是独立的，根据独立事件联合概率等于各自概率的乘积，可以得到Jamison和
Bronson都可以成功获得贷款的概率是 。对于statement 2，无条件独立不一定能推出条件独立，反之，条件
独立也不一定得到无条件独立，所以第二句陈述错误。对于statement 3，在经济衰退的时候，由于银行预期
缩减贷款规模，因而是否发放贷款给Jamison和Bronson的决策不再独立，不满足无条件独立性。此时求解在
经济衰退的情况下他们同时获得贷款的概率不能直接用两个条件概率相乘（　）。所以第三句陈述错误。因
此，第一句陈述正确，第二句和第三句陈述错误，B选项正确。",Knowledge reasoning QA,text only,Hard,"Conditional Independence, Unconditional Independence, Joint Probability",Quantitative Methods,Quantitative Analysis2
2369,2,,,"Bond A and Bond B have the same rating and probability of default. The estimated probability
that both bonds will default during the next year is 5%. If Bond A defaults next year, there is
a 50% probability that Bond B will also default. What is the probability that neither Bond A
nor Bond B will default over the next year?",,"{'A': '75%.', 'B': '80%.', 'C': '85%', 'D': '95%.'}",C,"Answer: C

该题主要考点为概率运算规则的应用。

首先根据题目定义以下事件概率：
- $P(A)$: Bond A 的连锁概率；
- $P(B)$: Bond B 的连锁概率；
- $P(AB)$: Bond A 和 Bond B 都发生连锁的概率。

由题目已知条件可知：
$$
P(AB) = 5\%, P(B|A) = 50\%.
$$

根据乘法法则：
$$
P(A) = \frac{P(AB)}{P(B|A)} = \frac{5\%}{50\%} = 10\%.
$$

又由于 Bond A 和 Bond B 有相同的连锁概率，因此 $P(B) = 10\%$。

根据加法法则，Bond A 和 Bond B 都不发生连锁的概率为：
$$
1 - P(A + B) = 1 - [P(A) + P(B) - P(AB)] = 85\%.
$$

因此正确选项为 C。",Math reasoning QA,text only,Hard,"Credit risk, Default correlation, Joint probability",Quantitative Methods,Quantitative Analysis2
2370,3,,,"To apply central tendency and dispersion analysis, the risk manager measures the mean and
standard deviation of the distribution of the exceedances. What is the mean and standard
deviation of the number of exceedances over a period of 250 trading days?",,"{'A': 'Mean= 6, standard deviation=2.475', 'B': 'Mean= 2.5, standard deviation=1.573', 'C': 'Mean=6, standard deviation=1.573', 'D': 'Mean= 2.5, standard deviation=2.475'}",B,"Answer: B

解开：该题主要考点为二项分布的性质。
- 设$n$为二项分布实验的次数，由上题可知$n=250$。
- 设$p$为每次实验中失败的概率，由上题可知$p=1\%$。

由二项分布的性质可知均值和标准差分别为：

Mean = $n \times p = 250 \times 1\% = 2.5.$

Standard deviation = $\sqrt{n \times p \times (1-p)} = \sqrt{250 \times 0.01 \times 0.99} = 1.573.$

因此正确选项为B.",Math reasoning QA,text only,Hard,"Descriptive statistics, Probability distributions, Risk measurement techniques",Quantitative Methods,Quantitative Analysis2
2371,5,,,"An operational risk manager uses the Poisson distribution to estimate the frequency of losses
in excess of USD 2 million during the next year. It is observed that the frequency of losses
greater than USD 2 million is 3 per year on average over the last 10 years. If this observation
is indicative of future occurrences and all the losses are independent of each other, what is
the probability of at most one loss over USD 2 million occurring during the next two years?",,"{'A': '1.01%', 'B': '1.40%', 'C': '1.61%', 'D': '1.74%'}",D,"Answer: D

解答: 该题主要考虑泊松分布的应用。泊松分布概率函数如下：

$$
P(X = K) = \frac{\lambda^k e^{-\lambda}}{k!}
$$

其中表示在时间内事件发生的平均次数。在本题中平均损失超过 $2\text{ million}$ 的次数 $\lambda$，因此在 $2$ 年内的损失超过 $2\text{ million}$ 的平均次数为 $\lambda = 2 \times 3 = 6$。

由于题目要求在接下来的两时间范围内，至少有 $1$ 次损失超过 $2\text{ million}$ 的概率。因此设随机变量 $X$ 的取值为 $1$ 和 $0$，因此根据泊松分布概率函数可以得到：

$$
P(X = 0 \text{ or } 1) = \frac{6^0 e^{-6}}{0!} + \frac{6^1 e^{-6}}{1!} = 6 \times e^{-6} = 0.01735
$$

因此此次选项为 D。",Math reasoning QA,text only,Hard,"Operational Risk, Poisson Distribution, Probability Analysis",Quantitative Methods,Quantitative Analysis2
2420,10,,,"Suppose an investor expects that the 1-year rate will remain at 6% for the first year for a
2-year zero-coupon bond. The investor also projects a 50% probability that the 1-year spot rate
will be 8% in one year and a 50% probability that the 1-year spot rate will be 4% in one year.
Which of the following inequalities most accurately reflects the convexity effect for this 2-
year bond using Jensen’s inequality formula?",,"{'A': '$0.89031 > $0.89000', 'B': '$0.89000> $0.80000', 'C': '$0.94340> $0.89031', 'D': '$0.94373> $0. 94340'}",A,"$$
E\left(\frac{1}{1+r}\right) = 0.5 \times \frac{\$1}{1.08} + 0.5 \times \frac{\$1}{1.04} = 0.94373
$$

$$
\Rightarrow 0.94373 / 1.06 = 0.89031
$$

$$
\frac{1}{E(1+r)} = 0.5 \times \frac{\$1}{1.08} + 0.5 \times \frac{\$1}{1.04} = 0.94340
$$

$$
\Rightarrow 0.94340 / 1.06 = 0.89000
$$
",Math reasoning QA,text only,Hard,"Bond Pricing, Spot Rates, Jensen's Inequality",Market Risk Measurement and Management,Market Risk Measurement and Management2
2422,12,,,"Computing VaR on a portfolio containing a very large number of positions can be simplified
by mapping these positions to a smaller number of elementary risk factors. Which of the
following mappings would be adequate?",,"{'A': 'USD\\/EUR forward contracts are mapped on the USD\\/JPY\\nspot exchange rate.', 'B': 'Each position in a corporate bond portfolio is mapped\\non the bond with the closest maturity\namong a', 'C': 'Government bonds paying regular coupons are mapped on\\nzero-coupon government bonds.', 'D': 'A position in the stock market index is mapped on a\\nposition in a stock within that index.'}",C,"Mapping government bonds paying regular coupons onto zerocoupon government bonds is
an adequate process, because both categories ofbonds are government issued and therefore have a
very similar sensitivity torisk factors. However, this is not a perfect mapping since the
sensitivity ofboth classes of bonds to specific risk factors (i.e. changes in interest
rates)may differ.(0)",Knowledge reasoning QA,text only,Hard,"Value at Risk (VaR), Portfolio Risk Management, Risk Factor Mapping",Market Risk Measurement and Management,Market Risk Measurement and Management2
2423,13,,,"A risk manager is pricing a 10-year call option on 10-year Treasuries using a successfully
tested pricing model. Current interest rate volatility is high and the risk manager is
concerned about the effect this may have on short-term rates when pricing the option. Which of
the following actions would best address the potential for negative short-term interest rates
to arise in the model?",,"{'A': 'The risk manager uses a normal distribution of\\ninterest rates.', 'B': 'When short-term rates are negative, the risk manager\\nadjusts the risk-neutral probabilities.', 'C': 'When short-term rates are negative, the risk manager\\nincreases the volatility.', 'D': 'When short-term rates are negative, the risk manager\\nsets the rate to zero.'}",D,"Negative short-term interest rates can arise in modelsfor which the terminal
distribution of interest rates follows a normaldistribution. The existence of negative interest
rates does not make mucheconomic sense since market participants would generally not lend cash
atnegative interest rates when they can hold cash and earn a zero return. Onemethod that can be
used to address the potential for negative interest rateswhen constructing interest rate trees
is to set all negative interest rates tozero. This localizes the change in assumptions to
points in the distributioncorresponding to negative interest rates and preserves the original
rate treefor all other observations. In comparison, adjusting the risk neutralprobabilities
would alter the dynamics across the entire range of interestrates and therefore not be an
optimal approach.When a model displays the potential for negativeshort-term interest rates, it
can still be a desirable model to use in certainsituations, especially in cases where the
valuation depends more on the averagepath of the interest rate, such as in valuing coupon
bonds. Therefore, thepotential for negative rates does not automatically rule out the use of
themodel. (2)",Knowledge reasoning QA,text only,Hard,"Interest Rate Models, Option Pricing, Risk-Neutral Probabilities",Market Risk Measurement and Management,Market Risk Measurement and Management2
2424,14,,,"A large commercial bank is using VaR as its main risk measurement tool. Expected shortfall
(ES) is suggested as a better alternative to use during market turmoil. What should be
understood regarding VaR and ES before modifying current practices?",,"{'A': 'Despite being more complicated to calculate, ES is\\neasier to backtest than VaR.', 'B': 'Relative to VaR, ES leads to more required economic\\ncapital for the same confidence level.', 'C': 'While VaR ensures that the estimate of portfolio risk\\nis less than or equal to the sum of\nthe risks', 'D': 'Both VaR and ES account for the severity of losses\\nbeyond the confidence threshold.'}",B,"Expected shortfall is always greater than or equal to VaRfor a given confidence
level, since ES accounts for the severity of expectedlosses beyond a particular confidence
level, while VaR measures the minimumexpected loss at that confidence level. Therefore, ES
would lead to a higherlevel of required economic capital than VaR for the same confidence
level. Inpractice, however, regulators often correct for the difference between ES andVaR by
lowering the required confidence level for banks using ES compared tothose using VaR.(2)",Knowledge reasoning QA,text only,Hard,"Value at Risk (VaR), Expected Shortfall (ES), Economic Capital",Market Risk Measurement and Management,Market Risk Measurement and Management2
